,long,short
2016-12-01,"{'AMZN': -0.003375819034834683, 'CTL': 0.010290556900726496, 'COV': 0.0, 'MNST': -0.0035955056179774515, 'THC': -0.025607353906763004, 'ZBH': 0.016209097355891083, 'NFX': -0.1297808336914482, 'DVN': -0.0765794511805999, 'FMC': 0.0025845358604350086, 'AME': 0.020425714900021562, 'GNW': -0.11805555555555561, 'CME': 0.04891853648675969, 'HAR': -0.3465337827176716, 'TXT': 0.04753635771651829, 'FTR': -0.03998770026634348, 'AVP': -0.059813084112149424, 'TRIP': -0.040707141195626885, 'WFC': 0.03717948717948722, 'NEE': 0.052276884567247446, 'PHM': -0.021229050279329555}",{}
2017-01-01,"{'FCX': 0.23488905891354248, 'COV': 0.0, 'SWN': -0.15, 'WYNN': 0.16326278004703548, 'HOG': -0.028204144282425153, 'POM': 0.11184178172597828, 'RL': -0.03114268798105399, 'AMCR': 0.0, 'AVP': 0.14035087719298242, 'NWSA': 0.0639853747714809, 'T': -0.0008566533409480621, 'FISV': 0.005804156524995362, 'DIS': 0.05077350257834183, 'GPS': 0.013381369016984127, 'ATI': 0.3372307692307693, 'HAR': -0.09091089014851644, 'GM': 0.046895640686922, 'NUE': -0.02764891445537209, 'SPGI': 0.10853973414937372, 'FLIR': -0.02998846597462512}",{}
2017-02-01,"{'COV': 0.0, 'CNX': -0.08912280701754383, 'HBAN': 0.03193277310924361, 'SWN': -0.1810250817884406, 'SNA': -0.06248138662219299, 'HST': -0.008810572687224705, 'MRO': -0.057668711656441794, 'KEY': 0.03648732220160791, 'POM': 0.7633156822954722, 'MSFT': 0.0, 'UAA': -0.047575057736720446, 'GD': 0.046897289586305194, 'M': 0.13284920973942757, 'BDX': 0.040805385119437626, 'NAVI': 0.015772870662460654, 'DO': 0.023086269744835904, 'KMI': -0.0516359918200408, 'MS': 0.05456821026282852, 'ALL': 0.09222065063649217, 'DISCK': 0.012991699747383595}",{}
2017-03-01,"{'COV': 0.0, 'DNR': -0.06859205776173283, 'HBAN': -0.06995230524642296, 'FCX': -0.03068862275449103, 'NBR': -0.11705383119526053, 'RL': 0.025782937365010753, 'EL': 0.019390926041019295, 'JCI': 0.002868318122555396, 'AVP': -0.013483146067415842, 'CNX': 0.0623100303951368, 'QEP': -0.08627456734331557, 'MSI': 0.08698556921432377, 'OMC': 0.011127110878387149, 'NAVI': -0.04447852760736184, 'NFLX': 0.034794175301036116, 'WMB': 0.0385103681760474, 'SCHW': -0.016838401608444378, 'HD': 0.006823913365969559, 'ZTS': -0.006838905775075977, 'STZ': 0.01241424371120534}",{}
2017-04-01,"{'DNR': -0.13281249999999994, 'COV': 0.0, 'POM': 0.3320897312458372, 'NBR': -0.2142905588714053, 'HBAN': -0.04911092294665538, 'AMGN': -0.007936507936507922, 'RIG': -0.1140562248995984, 'URBN': -0.03744215397559952, 'MKC': 0.02202785876255271, 'SPG': -0.04074497411416663, 'NSC': 0.04684085510688842, 'AIZ': 0.004376122082585285, 'GWW': -0.1720316380023912, 'TDC': -0.061434544869733036, 'IBM': -0.07781324820430977, 'MLM': 0.009106780540744618, 'AAPL': -0.0004373815424989231, 'FB': 0.058620446699076956, 'FCX': -0.05504587155963308, 'CMI': -0.003994770482277828}",{}
2017-05-01,"{'COV': 0.0, 'NE': -0.15800415800415799, 'DNR': -0.3139013452914798, 'NBR': -0.1456270716436664, 'EOG': -0.024038461538461443, 'IVZ': -0.03254113345521026, 'PEP': 0.041959406713505044, 'MAR': 0.14012738853503173, 'ORLY': -0.025599742392529323, 'HAS': 0.05802939575394679, 'M': -0.19602032176121942, 'VAR': 0.0892091079089209, 'MCO': 0.004634892872759084, 'WMT': 0.05372791265622748, 'MCK': 0.17904975682753466, 'DE': 0.09102964857440574, 'XRAY': 0.0009707167125059888, 'PXD': -0.03742461865909888, 'AEE': 0.0357856857257097, 'OMC': 0.015982662874170484}",{}
2017-06-01,"{'DNR': -0.03773584905660381, 'COV': 0.0, 'NE': -0.10396039603960394, 'AVP': 0.11470588235294121, 'RIG': -0.09560439560439553, 'NBR': -0.06724715678310318, 'POM': -0.006173807919823519, 'CRM': -0.03777777777777784, 'SPG': 0.050353291186314694, 'IBM': 0.0067430883344572244, 'CB': 0.017258124766529714, 'UNP': -0.015068096203998863, 'DIS': -0.013668088406359021, 'WYNN': 0.017606490872210966, 'HON': -0.001999333555481582, 'PPG': 0.032640949554896256, 'MAS': 0.022468793342579816, 'QEP': 0.005976520811099227, 'CCI': -0.008698524554062895, 'LUV': 0.03421595598349385}",{}
2017-07-01,"{'DNR': -0.06410256410256415, 'COV': 0.0, 'NE': 0.09289617486338794, 'TDC': 0.07645466847090669, 'IVZ': -0.019263264616424476, 'POM': -0.00931359803885164, 'CCI': 0.0005534646889528133, 'BKNG': 0.08032827919708997, 'NBR': -0.06090288458943845, 'IBM': -0.057994781960491994, 'LRCX': 0.11743296442100574, 'DLTR': 0.029273168642010527, 'XEC': 0.046950416849495406, 'RTN': 0.05930615672847088, 'GOOG': 0.020083755399153733, 'INTC': 0.05844572896596019, 'HSY': -0.016274864376130245, 'SRCL': 0.00626631853785906, 'SBUX': -0.08342361863488632, 'UHS': -0.09413223140495869}",{}
2017-08-01,"{'COV': 0.0, 'CMG': -0.07954545454545456, 'CRM': 0.04509138666958509, 'UNH': 0.028421394543092247, 'NFLX': -0.042632473012219854, 'KIM': -0.03317249698431829, 'EOG': -0.10455880752910456, 'EMC': 0.0, 'DAL': -0.04593487168427853, 'IPG': -0.0597171293871137, 'FLS': -0.044845360824742136, 'MRO': -0.08658743633276737, 'ISRG': 0.06997028659062582, 'IQV': 0.05969984550871768, 'AMT': 0.08678746403297298, 'POM': -0.07547553006440688, 'CAH': -0.13202084539664155, 'NBR': -0.14935120982823594, 'XEC': 0.009765830095558044, 'NTRS': 0.008666992187499924}",{}
2017-09-01,"{'AVP': -0.06451612903225812, 'DNR': 0.25233644859813087, 'COV': 0.0, 'POM': 0.08965872770388704, 'CTL': -0.04682274247491634, 'CHK': 0.1780821917808219, 'NBR': 0.24541851563293943, 'FOSL': 0.12139423076923074, 'CAG': 0.03534852989758838, 'LMT': 0.01415358744394626, 'DVN': 0.16938435940099833, 'KEY': 0.08985879332477538, 'FTR': -0.08613618395045457, 'NOV': 0.16577896138482037, 'UAA': 0.016656384947563205, 'MDLZ': 0.0023566378633150934, 'ADP': 0.03162530024019212, 'MTB': 0.08329133971636307, 'TPR': -0.026759432700026762, 'QEP': 0.1306021890440097}",{}
